"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",4300.175,3622.1,3529.145,3642.29,3673.09,3803.065,3697.28,3733.915,3694.535,4666.405
"2",2478.095,2308.005,2425.185,2453.685,2461.12,2401.75,2497.365,2433.68,2438.05,2340.065
"3",1324.825,1085.9,1055.855,1096.71,1103.91,1146.935,1131.72,1144.085,1161.465,1436.595
"4",2058.905,1819.995,1927.815,1936.315,1929.88,1930.25,1944.635,1985.32,1929.95,1890.935
"5",884.06,784.63,751.235,767.495,760.825,761.885,751.465,745.06,752.345,725
"6",3055.785,2713.615,2704.4,2691.29,2741.94,2702.92,2696.815,2652.46,2675.325,2516.45
"7",1859.775,1690.915,1683.05,1659.32,1690.395,1633.19,1619.93,1632.175,1637.54,1555.71
"8",1129.38,1004.84,1014.315,992.895,1008.84,978.005,977.79,994.305,987.79,930.84
"9",227.97,225.105,220.41,219.855,214.65,210.79,222.335,203.38,223.265,272.24
"10",2085.225,1854.095,1816.855,1818.545,1772.26,1846.815,1831.22,1786.965,1767.395,1766.625
"11",122.525,131.41,117.025,118.4,121.64,117.265,122.09,123.415,118.49,149.74
"12",1119.605,989.75,970.615,970.705,952.005,982.59,978.48,948.33,942.775,937.145
"13",546.365,483.86,474.065,464.165,468.555,469.15,462.43,453.49,471.03,462.815
"14",3370.84,3026.74,3030.715,3175.77,3058.495,3021.455,3046.05,3006.85,3049.14,2871.66
"15",4105.795,3610.4,3621.22,3772.065,3641.95,3603.395,3622.52,3605.66,3625.83,3444.525
"16",1837.69,1745.025,1697.525,1686.28,1746.275,1699.38,1819.445,1739.325,1757.04,1922.015
"17",1147.295,1178.825,1202.465,1166.75,1195.34,1243.61,1185.59,1174.055,1208.695,1201.375
"18",3495.31,3344.975,3215.475,3204.72,3297.725,3262.62,3431.555,3352.675,3334.96,3617.985
"19",1525.705,1563.175,1583.535,1494.25,1619.66,1635.39,1561.41,1519.945,1574.305,1588.625
"20",930.755,942.315,976.24,988.24,1028.65,1012.98,977.33,963.02,985.675,918.795
"21",638.48,611.3,632.68,641.5,649.02,659.895,641.79,609.925,636.31,617.1
"22",2645.3,2726.425,2826.48,2787.025,2851.145,2884.12,2804.88,2738.48,2902.98,2649.165
"23",793.465,784.96,803.6,805.235,834.185,825.005,797,773.575,818.035,771.94
"24",409.405,410.935,400.265,401.095,403.45,400.655,411.885,394.865,407.135,477.31
"25",2694.605,2710.815,2599.75,2675.325,2579.59,2634.57,2693.04,2603.53,2652.61,3066.165
"26",640.93,657.45,620.41,654.99,608.625,613.59,633.39,624.61,622.605,729.4
"27",2543.565,2559.285,2473.14,2525.335,2430.045,2503.13,2521.26,2467.2,2500.895,2905.145
"28",494.805,467.055,464.65,461.81,452.16,453.515,457.755,461.065,441.52,442.48
"29",1444.935,1347.805,1355.94,1343.525,1324.005,1309.095,1320.575,1361.015,1298.23,1311.88
"30",6879.7,6483.45,6508.71,6481.03,6430.945,6315.47,6380.92,6513.84,6290.87,6275.845
"31",1397.455,1322.445,1318.295,1301.705,1276.05,1288.96,1292.395,1296.395,1255.645,1262.25
"32",4129.445,4773.775,4649.385,4702.4,4887.145,4797.435,4857.33,4893.18,4922.88,5360.025
"33",2039.295,2262.335,2339.325,2260.455,2243.255,2260.085,2289.105,2228.815,2253.755,2154.575
"34",1837.555,2121.225,2074.615,2106.6,2188.855,2163.565,2179.67,2208.82,2231.12,2406.975
"35",3321.705,3749.665,3840.675,3734.545,3699.745,3722.915,3807.895,3694.185,3742.245,3542.425
"36",2239.815,2347.89,2348.67,2388.015,2374.945,2301.315,2370.26,2379.435,2392.405,2343.25
"37",2907.895,3041.275,3040.945,3091.625,3069.685,2974.42,3069.84,3075.085,3067.29,2975.94
"38",3855.665,4064.415,4082.52,4156.475,4136.555,3979.32,4087.69,4119.065,4096.215,4044.08
"39",1689.625,1780.42,1758.865,1790.885,1787.815,1739.945,1781.21,1793.415,1798.09,1754.73
"40",799.045,951.925,924.175,908.905,915.455,919.49,903.945,927.465,919.66,853.935
"41",3113.465,3651.395,3668.685,3576.525,3613.1,3564.275,3573.67,3589.82,3653.92,3236.145
"42",1144.46,1373.555,1341.805,1304.745,1323.665,1305.585,1296.435,1313.665,1344.565,1219.52
"43",2564.03,3020.125,3006.335,2946.825,2930.78,2905.65,2924.95,2966.05,2999.855,2645.4
"44",1227.44,1272.785,1297.26,1287.185,1270.985,1297.455,1271.315,1308.75,1310.165,1265.865
"45",1711.43,1824.53,1838.395,1806.845,1812.29,1817.95,1793.19,1840.43,1838.93,1763.14
"46",2996.64,3162.055,3156.45,3150.685,3118.82,3211.8,3117.2,3255.59,3191.425,3079.98
"47",2059.49,2143.63,2172.895,2144.285,2113.905,2150.795,2119.295,2169.23,2173.48,2087.015
"48",1264.93,1386.425,1472.11,1444.425,1373.76,1411.335,1375.975,1370.925,1443.915,1368.2
"49",1675.07,1799.575,1904.89,1914.575,1750.24,1853.665,1798.025,1808.075,1890.085,1862.8
"50",918.51,832.8,794.635,786.805,777.06,785.875,799.34,786.35,776.81,768.815
"51",1145.555,1036.445,1005.845,991.885,980.815,989.3,1001.475,971.495,969.825,948.36
"52",1188.86,1084.545,1024.33,1023.205,1012.58,1055.57,1061.17,1031.9,1020.795,967.045
"53",1108.245,979.365,945.72,946.855,930.28,943.85,958.315,939.96,911.4,919.01
"54",698.85,793.365,830.39,770.52,851.475,839.6,813.49,830.465,843.74,721.105
