"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"A-GCA",0.120542196098244,-0.0905861631541173,-0.0910653658651396,-0.0342441101906265,-0.0381288373027318,-0.0165919253581743,-0.0522199172323211,0.0297434456281334,0.044880756609897,0.115181186459191
"A-GCC",0.091361967619004,0.0787956183482329,0.0563176443709171,0.0524090879405893,-0.0240198621790834,-0.021707711436539,-0.0535414118809833,-0.0516213624576433,-0.0295995831621408,-0.110246172211059
"A-GCG",-0.219277035412688,-0.0364547497339657,-0.00620460117316832,0.00745195823359302,0.0602619515920102,0.020046754403518,0.090061226772391,0.0515812700677152,0.0202097754312245,-0.0223183158614654
"A-GCT",0.129261670407803,0.0584236317369017,0.0325504322074828,-0.0658329391623974,-0.0524376822333753,0.0124293276060292,-0.0554905069882419,-0.0754783324787156,-0.0581971511691235,0.0692405663162625
"C-TGC",-0.145058272765148,0.00478367765202198,0.016600257795408,-0.0066058268072334,0.0475393519265645,0.0379857026843062,0.0114992983615989,0.0301448977934291,0.0157472432019525,-0.0531963675523523
"C-TGT",0.16265223143101,-0.00613822016563095,-0.0218406662370058,0.00860379099173662,-0.0626223727542131,-0.0488061777746482,-0.0153150531422145,-0.0411527493707393,-0.020821326874491,0.0655155924660544
"D-GAC",-0.0215929235210436,0.0238212859294984,0.0321250817932791,0.00734963734630625,0.0132803313590702,-0.02386908390939,-0.000696587931084693,0.0168505610099759,-0.0546356496388674,0.0022915457952227
"D-GAT",0.013098195524757,-0.0145649986290306,-0.01992355659145,-0.00446686612094302,-0.00811216202172584,0.0142999843324427,0.000418589997988958,-0.0102624774955282,0.0319328606118839,-0.00139554705453778
"E-GAA",0.024097892618352,-0.00386594128877382,0.0211355230295659,0.0114897950216513,0.00437857469330117,0.0133398197245168,0.0228865803684805,-0.00507422861559307,-0.000551056435033218,-0.077695255700708
"E-GAG",-0.0556691572821055,0.00866251938252414,-0.0485220249067388,-0.0259827568545393,-0.00982444644707505,-0.0300268765990627,-0.0523470595546715,0.0111777365435581,0.0012151406490939,0.159311980751014
"F-TTC",-0.251905951730298,-0.152219085187084,-0.033531401737998,0.0209261267156144,0.0125233597197337,0.0596962467033172,0.0571243336304709,0.0868304319347192,0.114338915459438,0.0674332457613382
"F-TTT",0.154462811816187,0.102572564021153,0.0242309179707054,-0.0155892597187584,-0.00958235991645336,-0.0470987440106326,-0.0448810588925644,-0.0678493345231518,-0.0914476513170137,-0.0525663845368664
"G-GGA",0.304773330653937,0.00465282179001436,-0.0673874076841596,-0.171560836327463,-0.158865061084414,-0.130444556665489,-0.0453041255561073,-0.0955977967141681,0.0528886735123579,0.277432603944846
"G-GGC",-0.0501961933459079,-0.00768354220989231,0.0400666385421791,0.0520827179279289,0.0455516122256171,0.0429574071245851,0.009387740355319,-0.0144678251837442,-0.0286797101974295,-0.115096103056784
"G-GGG",0.0404472802089226,0.0988825665112684,-0.025824654415657,-0.0119302559910876,-0.0711143098761829,-0.0720312136875432,-0.0747191130703841,-0.0464987477644509,0.00261035002532052,0.153043760098901
